ACS Code,Area of Operations,Task,Type,Description
PA.IV.E.R2c,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,c. Tailwind
PA.IV.E.R2d,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,d. Wake turbulence
PA.IV.E.R2e,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,e. Takeoff surface/condition
PA.IV.E.R3,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,"Abnormal operations, including planning for:"
PA.IV.E.R3a,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,a. Rejected takeoff
PA.IV.E.R3b,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,b. Potential engine failure in takeoff/climb phase of flight
PA.IV.E.R4,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,Collision hazards.
PA.IV.E.R5,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.E.R6,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.E.S1,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Complete the appropriate checklist(s).
PA.IV.E.S10,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,"Establish a pitch attitude to maintain the recommended obstacle clearance airspeed or VX, +10/-5 knots until the obstacle is cleared or until the airplane is 50 feet above the surface."
PA.IV.E.S11,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Establish a pitch attitude for VY and accelerate to VY +10/-5 knots after clearing the obstacle or at 50 feet AGL if simulating an obstacle.
PA.IV.E.S12,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Configure the airplane in accordance with the manufacturer'ss guidance after a positive rate of climb has been verified.
PA.IV.E.S13,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Maintain VY +10/-5 knots to a safe maneuvering altitude.
PA.IV.E.S14,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Maintain directional control and proper wind-drift correction throughout takeoff and climb.
PA.IV.E.S15,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,"Comply with noise abatement procedures, as applicable."
PA.IV.E.S2,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Make radio calls as appropriate.
PA.IV.E.S3,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Verify assigned/correct runway.
PA.IV.E.S4,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Determine wind direction with or without visible wind direction indicators.
PA.IV.E.S5,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,"Position the flight controls for the existing wind, if applicable."
PA.IV.E.S6,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,"Clear the area, taxi into takeoff position, and align the airplane on the runway centerline utilizing maximum available takeoff area."
PA.IV.E.S7,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Apply brakes while setting engine power to achieve maximum performance.
PA.IV.E.S8,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,Confirm takeoff power prior to brake release and verify proper engine and flight instrument indications prior to rotation.
PA.IV.E.S9,"IV. Takeoffs, Landings, and Go-Arounds","Task E. Short-Field Takeoff and Maximum Performance Climb (ASEL, AMEL)",Skills,"Rotate and lift off at the recommended airspeed and accelerate to the recommended obstacle clearance airspeed or VX, +10/-5 knots."
PA.IV.F.K1,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Knowledge,"A stabilized approach, including energy management concepts."
PA.IV.F.K2,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Knowledge,"Effects of atmospheric conditions, including wind, on approach and landing performance."
PA.IV.F.K3,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Knowledge,Wind correction techniques on approach and landing.
PA.IV.F.R1,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,"Selection of runway based on pilot capability, airplane performance and limitations, available distance, and wind."
PA.IV.F.R2,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,Effects of:
PA.IV.F.R2a,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,a. Crosswind
PA.IV.F.R2b,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,b. Windshear
PA.IV.F.R2c,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,c. Tailwind
PA.IV.F.R2d,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,d. Wake turbulence
PA.IV.F.R2e,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,e. Landing surface/condition
PA.IV.F.R3,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,Planning for:
PA.IV.F.R3a,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,a. Rejected landing and go-around
PA.IV.F.R3b,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,b. Land and hold short operations (LAHSO)
PA.IV.F.R4,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,Collision hazards.
PA.IV.F.R5,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.F.R6,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.F.S1,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Complete the appropriate checklist(s).
PA.IV.F.S10,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,"Touch down at a proper pitch attitude within 200 feet beyond or on the specified point, threshold markings, or runway numbers, with no side drift, minimum float, and with the airplane's longitudinal axis aligned with and over the runway centerline."
PA.IV.F.S11,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Use manufacturer'ss recommended procedures for airplane configuration and braking.
PA.IV.F.S12,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Execute a timely go-around if the approach cannot be made within the tolerances specified above or for any other condition that may result in an unsafe approach or landing.
PA.IV.F.S13,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,"Use runway incursion avoidance procedures, if applicable."
PA.IV.F.S2,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Make radio calls as appropriate.
PA.IV.F.S3,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Ensure the airplane is aligned with the correct/assigned runway.
PA.IV.F.S4,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Scan the landing runway and adjoining area for traffic and obstructions.
PA.IV.F.S5,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,"Select and aim for a suitable touchdown point considering the wind conditions, landing surface, and obstructions."
PA.IV.F.S6,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,"Establish the recommended approach and landing configuration, airspeed, and trim, and adjust pitch attitude and power as required to maintain a stabilized approach."
PA.IV.F.S7,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,"Maintain manufacturer'ss published approach airspeed or in its absence not more than 1.3 VSO, +10/-5 knots with gust factor applied."
PA.IV.F.S8,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,Maintain directional control and appropriate crosswind correction throughout the approach and landing.
PA.IV.F.S9,"IV. Takeoffs, Landings, and Go-Arounds","Task F. Short-Field Approach and Landing (ASEL, AMEL)",Skills,"Make smooth, timely, and correct control application before, during, and after touchdown."
PA.IV.N.K1,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,"A stabilized approach, including energy management concepts."
PA.IV.N.K2,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,"Effects of atmospheric conditions, including wind and density altitude, on a go-around or rejected landing."
PA.IV.N.K3,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Knowledge,Wind correction techniques on takeoff/departure and approach/landing.
PA.IV.N.R1,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Delayed recognition of the need for a go-around/rejected landing.
PA.IV.N.R2,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Delayed performance of a go-around at low altitude.
PA.IV.N.R3,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Power application.
PA.IV.N.R4,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Configuring the airplane.
PA.IV.N.R5,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Collision hazards.
PA.IV.N.R6,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IV.N.R7,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IV.N.R8,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Runway incursion.
PA.IV.N.R9,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Risk Management,Managing a go-around/rejected landing after accepting a LAHSO clearance.
PA.IV.N.S1,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Complete the appropriate checklist(s).
PA.IV.N.S2,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Make radio calls as appropriate.
PA.IV.N.S3,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Make a timely decision to discontinue the approach to landing.
PA.IV.N.S4,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Apply takeoff power immediately and transition to climb pitch attitude for VX or VY as appropriate +10/-5 knots.
PA.IV.N.S5,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Configure the airplane after a positive rate of climb has been verified or in accordance with airplane manufacturer'ss instructions.
PA.IV.N.S6,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Maneuver to the side of the runway/landing area when necessary to clear and avoid conflicting traffic.
PA.IV.N.S7,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Maintain VY +10/-5 knots to a safe maneuvering altitude.
PA.IV.N.S8,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,Maintain directional control and proper wind-drift correction throughout the climb.
PA.IV.N.S9,"IV. Takeoffs, Landings, and Go-Arounds",Task N. Go-Around/Rejected Landing,Skills,"Use runway incursion avoidance procedures, if applicable."
PA.IX.A.K1,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,"Situations that would require an emergency descent (e.g., depressurization, smoke, or engine fire)."
PA.IX.A.K2,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,Immediate action tasks and emergency procedures.
PA.IX.A.K3,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,"Airspeed, including airspeed limitations."
PA.IX.A.K4,IX. Emergency Operations,Task A. Emergency Descent,Knowledge,Aircraft performance and limitations.
PA.IX.A.R1,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,"Altitude, wind, terrain, obstructions, gliding distance, and available landing distance considerations."
PA.IX.A.R2,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,Collision hazards.
PA.IX.A.R3,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,Configuring the airplane.
PA.IX.A.R4,IX. Emergency Operations,Task A. Emergency Descent,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IX.A.S1,IX. Emergency Operations,Task A. Emergency Descent,Skills,Clear the area.
PA.IX.A.S2,IX. Emergency Operations,Task A. Emergency Descent,Skills,Establish and maintain the appropriate airspeed and configuration appropriate to the scenario specified by the evaluator and as covered in Pilot's Operating Handbook (POH)/Airplane Flight Manual (AFM) for the emergency descent.
PA.IX.A.S3,IX. Emergency Operations,Task A. Emergency Descent,Skills,"Maintain orientation, divide attention appropriately, and plan and execute a smooth recovery."
PA.IX.A.S4,IX. Emergency Operations,Task A. Emergency Descent,Skills,Use bank angle between 30° and 45° to maintain positive load factors during the descent.
PA.IX.A.S5,IX. Emergency Operations,Task A. Emergency Descent,Skills,"Maintain appropriate airspeed +0/-10 knots, and level off at a specified altitude ±100 feet."
PA.IX.A.S6,IX. Emergency Operations,Task A. Emergency Descent,Skills,Complete the appropriate checklist(s).
PA.IX.A.S7,IX. Emergency Operations,Task A. Emergency Descent,Skills,Make radio calls as appropriate.
PA.IX.A.S8,IX. Emergency Operations,Task A. Emergency Descent,Skills,"Use single-pilot resource management (SRM) or crew resource management (CRM), as appropriate."
PA.IX.B.K1,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Immediate action tasks and emergency procedures.
PA.IX.B.K2,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,"Airspeed, including:"
PA.IX.B.K2a,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,a. Importance of best glide speed and its relationship to distance
PA.IX.B.K2b,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,b. Difference between best glide speed and minimum sink speed
PA.IX.B.K2c,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,c. Effects of wind on glide distance
PA.IX.B.K3,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Effects of atmospheric conditions on emergency approach and landing.
PA.IX.B.K4,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,"A stabilized approach, including energy management concepts."
PA.IX.B.K5,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Emergency Locator Transmitters (ELTs) and other emergency locating devices.
PA.IX.B.K6,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Knowledge,Air traffic control (ATC) services to aircraft in distress.
PA.IX.B.R1,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,"Altitude, wind, terrain, obstructions, gliding distance, and available landing distance considerations."
PA.IX.B.R2,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,Following or changing the planned flightpath to the selected landing area.
PA.IX.B.R3,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,Collision hazards.
PA.IX.B.R4,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,Configuring the airplane.
PA.IX.B.R5,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.IX.B.R6,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IX.B.S1,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,"Establish and maintain the recommended best glide airspeed, ±10 knots."
PA.IX.B.S2,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,Configure the airplane in accordance with the Pilot's Operating Handbook (POH)\Airplane Flight Manual (AFM) and existing conditions.
PA.IX.B.S3,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,"Select a suitable landing area considering altitude, wind, terrain, obstructions, and available glide distance."
PA.IX.B.S4,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,"Plan and follow a flightpath to the selected landing area considering altitude, wind, terrain, and obstructions."
PA.IX.B.S5,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,Prepare for landing as specified by the evaluator.
PA.IX.B.S6,IX. Emergency Operations,"Task B. Emergency Approach and Landing (Simulated) (ASEL, ASES)",Skills,Complete the appropriate checklist(s).
PA.IX.C.K1,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,Causes of partial or complete power loss related to the specific type of powerplant(s).
PA.IX.C.K2,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,"System and equipment malfunctions specific to the aircraft, including:"
PA.IX.C.K2a,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,a. Electrical malfunction
PA.IX.C.K2b,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,b. Vacuum/pressure and associated flight instrument malfunctions
PA.IX.C.K2c,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,c. Pitot-static system malfunction
PA.IX.C.K2d,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,d. Electronic flight deck display malfunction
PA.IX.C.K2e,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,e. Landing gear or flap malfunction
PA.IX.C.K2f,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,f. Inoperative trim
PA.IX.C.K3,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,Causes and remedies for smoke or fire onboard the aircraft.
PA.IX.C.K4,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,"Any other system specific to the aircraft (e.g., supplemental oxygen, deicing)."
PA.IX.C.K5,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Knowledge,Inadvertent door or window opening.
PA.IX.C.R1,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,Checklist usage for a system or equipment malfunction.
PA.IX.C.R2,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.IX.C.R3,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,Undesired aircraft state.
PA.IX.C.R4,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,Startle response.
PA.IX.C.S1,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Skills,"Determine appropriate action for simulated emergencies specified by the evaluator, from at least three of the elements or sub-elements listed in K1 through K5."
PA.IX.C.S2,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Skills,Complete the appropriate checklist(s).
PA.IX.D.K1,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,"Emergency Locator Transmitter (ELT) operations, limitations, and testing requirements."
PA.IX.D.K2,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,Fire extinguisher operations and limitations.
PA.IX.D.K3,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,Emergency equipment and survival gear needed for:
PA.IX.D.K3a,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,a. Climate extremes (hot/cold)
PA.IX.D.K3b,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,b. Mountainous terrain
PA.IX.D.K3c,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,c. Overwater operations
PA.IX.D.K4,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,"When to deploy a ballistic parachute and associated passenger briefings, if equipped."
PA.IX.D.K5,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,"When to activate an emergency auto-land system and brief passengers, if equipped."
PA.IX.D.R1,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Risk Management,"Survival gear (water, clothing, shelter) for 48 to 72 hours."
PA.IX.D.R2,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Risk Management,Use of a ballistic parachute system.
PA.IX.D.R3,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Risk Management,"Use of an emergency auto-land system, if installed."
PA.IX.D.S1,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Skills,Identify appropriate equipment and personal gear.
PA.IX.D.S2,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Skills,Brief passengers on proper use of on-board emergency equipment and survival gear.
PA.IX.D.S3,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Skills,"Simulate ballistic parachute deployment procedures, if equipped."
PA.V.A.K1,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,How to conduct a proper steep turn.
PA.V.A.K2,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,"Aerodynamics associated with steep turns, including:"
PA.V.A.K2a,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,a. Maintaining coordinated flight
PA.V.A.K2b,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,b. Overbanking tendencies
PA.V.A.K2c,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,"c. Maneuvering speed, including the impact of weight changes"
PA.V.A.K2d,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,d. Load factor and accelerated stalls
PA.V.A.K2e,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,e. Rate and radius of turn
PA.V.A.R1,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,Division of attention between aircraft control and orientation.
PA.V.A.R2,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,Collision hazards.
PA.V.A.R3,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.V.A.R4,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.V.A.R5,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,Uncoordinated flight.
PA.V.A.S1,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,Clear the area.
PA.V.A.S2,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,"Establish the manufacturer's recommended airspeed; or if one is not available, an airspeed not to exceed the maneuvering speed (VA)."
PA.V.A.S3,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,Roll into a coordinated 360° steep turn with approximately a 45° bank.
PA.V.A.S4,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,"Perform the Task in the opposite direction, as specified by evaluator."
PA.V.A.S5,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,"Maintain the entry altitude ±100 feet, airspeed ±10 knots, bank ±5°, and roll out on the entry heading ±10°."
PA.V.B.K1,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Knowledge,Purpose of ground reference maneuvers.
PA.V.B.K2,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Knowledge,Effects of wind on ground track and relation to a ground reference.
PA.V.B.K3,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Knowledge,Effects of bank angle and groundspeed on rate and radius of turn.
PA.V.B.K4,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Knowledge,Relationship of rectangular course to airport traffic pattern.
PA.V.B.R1,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Risk Management,Division of attention between aircraft control and orientation.
PA.V.B.R2,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Risk Management,Collision hazards.
PA.V.B.R3,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
PA.V.B.R4,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PA.V.B.R5,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Risk Management,Uncoordinated flight.
PA.V.B.S1,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,Clear the area.
PA.V.B.S2,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,"Select a suitable ground reference area, line, or point as appropriate."
PA.V.B.S3,V. Performance Maneuvers and Ground Reference Maneuvers,Task B. Ground Reference Maneuvers,Skills,Plan the maneuver:
